"Date","Team","OutRef","Out","InRef","In"
"2016-08-13 12:13:00","We've got Payet...","381","Vorm (TOT)","219","Caballero (MCI)"
"2016-08-13 12:37:00","Flemington Wanderers","258","Depay (MUN)","228","Sterling (MCI)"
"2016-08-13 10:45:00","Real Majid","179","Drinkwater (LEI)","155","Snodgrass (HUL)"
"2016-08-19 11:37:00","Wh!teDogSh!te","292","Rhodes (MID)","355","Defoe (SUN)"
"2016-08-21 09:50:00","Keanelbows","144","Koné (EVE)","293","Stuani (MID)"
"2016-08-22 16:53:00","Flemington Wanderers","141","Deulofeu (EVE)","261","Januzaj (SUN)"
"2016-08-22 18:41:00","top o' yo","337","Diouf (STK)","163","Hernández (HUL)"
"2016-08-26 13:13:00","Keanelbows","316","Butland (STK)","541","Bravo (MCI)"
"2016-08-26 13:48:00","We've got Payet...","219","Caballero (MCI)","381","Vorm (TOT)"
"2016-08-26 21:30:00","Wh!teDogSh!te","223","Clichy (MCI)","221","Zabaletta (MCI)"
"2016-08-30 09:44:00","Flemington Wanderers","313","Long (SOU)","98","Remy (CPL)"
"2016-08-30 12:26:00","Wh!teDogSh!te","355","Defoe (SUN)","549","Pérez (ARS)"
"2016-08-30 12:40:00","Wh!teDogSh!te","21","Iwobi (ARS)","416","Capoue (WAT)"
"2016-08-31 08:13:00","Armitage Shanks","216","Ings (LIV)","240","Bony (MCI)"
"2016-08-31 10:27:00","Armitage Shanks","218","Hart (MCI)","54","Heaton (BUR)"
